customer_id,customer_name,region,signup_date
901,Sai Chatterjee,east,2023-05-11
902,Tara Bhat,east,2023-01-28
903,Diya Shetty,east,2024-07-31
904,Aarav Reddy,east,2024-10-20
905,Isha Gupta,east,2024-04-17
906,Sai Sharma,east,2023-09-24
907,Diya Nair,east,2023-08-05
908,Kavya Nair,east,2023-12-12
909,Diya Poojari,east,2024-03-07
910,Rohan Reddy,east,2024-04-26
911,Aarav Bhat,east,2023-02-23
912,Aarya Singh,east,2024-10-27
913,Aditya Sharma,east,2023-02-01
914,Rohit Kumar,east,2023-01-21
915,Tara Gupta,east,2023-09-02
916,Arjun Joshi,east,2024-11-16
917,Vihaan Shetty,east,2023-08-12
918,Kavya Poojari,east,2024-01-13
919,Sai Das,east,2024-09-13
920,Vihaan Yadav,east,2023-11-15
921,Vihaan Shetty,east,2023-01-27
922,Ishan Shetty,east,2024-11-24
