customer_id,customer_name,region,signup_date
1801,Vivaan Iyer,east,2024-01-03
1802,Aarya Roy,east,2023-05-30
1803,Rohit Gowda,east,2024-02-26
1804,Saanvi Yadav,east,2023-06-24
1805,Sai Reddy,east,2024-09-16
1806,Diya Das,east,2024-11-30
1807,Rohit Joshi,east,2024-08-20
1808,Arjun Singh,east,2024-04-17
1809,Rohan Chatterjee,east,2023-09-19
1810,Aarav Chatterjee,east,2023-10-22
1811,Ritika Yadav,east,2023-03-17
1812,Kavya Desai,east,2024-08-24
1813,Ishan Roy,east,2023-09-14
1814,Kavya Iyer,east,2023-07-23
1815,Diya Joshi,east,2023-04-20
1816,Rohit Mehta,east,2024-08-08
1817,Aarya Shetty,east,2023-10-30
1818,Ishan Patel,east,2024-11-05
1819,Diya Poojari,east,2023-01-09
1820,Saanvi Sharma,east,2024-09-12
