customer_id,customer_name,region,signup_date
601,Aarav Yadav,east,2023-12-07
602,Isha Singh,east,2023-10-01
603,Sai Rao,east,2024-01-27
604,Vivaan Joshi,east,2023-08-16
605,Krishna Chatterjee,east,2023-12-25
606,Ishan Singh,east,2023-08-17
607,Aarav Kumar,east,2024-02-13
608,Ananya Poojari,east,2023-03-13
609,Rohan Desai,east,2024-10-18
610,Nisha Mehta,east,2024-11-26
611,Ritika Nair,east,2023-01-29
612,Vihaan Poojari,east,2023-07-02
613,Saanvi Poojari,east,2023-02-09
614,Vihaan Das,east,2024-03-20
615,Aarya Nair,east,2024-03-22
616,Tara Gowda,east,2023-04-29
617,Diya Shetty,east,2023-07-14
618,Rohan Sharma,east,2024-03-22
619,Aarav Gowda,east,2024-07-05
620,Krishna Desai,east,2024-03-17
621,Aditya Nair,east,2024-09-30
622,Ananya Rao,east,2023-11-04
623,Nisha Iyer,east,2024-11-13
