customer_id,customer_name,region,signup_date
1701,Nisha Shetty,east,2023-12-06
1702,Vihaan Chatterjee,east,2023-04-13
1703,Nisha Chatterjee,east,2023-01-16
1704,Arjun Roy,east,2024-11-01
1705,Arjun Reddy,east,2024-04-25
1706,Rohan Nair,east,2024-09-30
1707,Diya Reddy,east,2023-12-03
1708,Ritika Mehta,east,2023-11-21
1709,Meera Bhat,east,2023-02-06
1710,Tara Reddy,east,2023-08-29
1711,Ishan Singh,east,2023-04-03
1712,Isha Rao,east,2024-10-10
1713,Vihaan Chatterjee,east,2023-06-20
1714,Ishan Patel,east,2023-02-17
