customer_id,customer_name,region,signup_date
801,Arjun Chatterjee,east,2024-11-14
802,Nisha Bhat,east,2024-09-01
803,Ananya Chatterjee,east,2024-09-19
804,Nisha Roy,east,2024-07-15
805,Kavya Yadav,east,2024-05-01
806,Kavya Poojari,east,2023-09-11
807,Rohan Gowda,east,2024-05-11
808,Rohit Poojari,east,2024-03-26
809,Aditya Iyer,east,2023-08-29
810,Rohan Nair,east,2023-11-24
811,Ritika Reddy,east,2023-05-22
812,Arjun Singh,east,2024-01-28
813,Arjun Kumar,east,2023-03-07
814,Isha Roy,east,2023-12-05
815,Ritika Chatterjee,east,2024-03-01
816,Vivaan Kumar,east,2024-03-06
817,Diya Shetty,east,2023-01-21
818,Saanvi Mehta,east,2024-05-03
819,Aarav Desai,east,2023-11-02
820,Diya Roy,east,2024-07-05
821,Ritika Das,east,2023-08-14
822,Meera Singh,east,2023-10-07
823,Isha Joshi,east,2023-01-30
824,Diya Nair,east,2024-11-15
