customer_id,customer_name,region,signup_date
1401,Vivaan Singh,east,2023-10-23
1402,Ishan Chatterjee,east,2023-03-14
1403,Rohit Poojari,east,2024-10-02
1404,Saanvi Kumar,east,2024-03-11
1405,Vihaan Bhat,east,2023-08-19
1406,Arjun Poojari,east,2023-05-26
1407,Aditya Sharma,east,2023-06-19
1408,Ishan Das,east,2024-08-05
1409,Ishan Chatterjee,east,2023-05-08
1410,Kavya Iyer,east,2024-02-17
1411,Rohan Gowda,east,2024-07-06
1412,Meera Chatterjee,east,2023-03-24
1413,Tara Sharma,east,2024-03-18
1414,Ananya Das,east,2023-09-14
1415,Aarav Reddy,east,2023-08-23
1416,Saanvi Shetty,east,2023-01-22
1417,Rohan Shetty,east,2023-02-11
1418,Sai Joshi,east,2024-06-15
1419,Kavya Poojari,east,2023-07-05
