customer_id,customer_name,region,signup_date
701,Ananya Mehta,east,2023-10-30
702,Ritika Gupta,east,2023-07-16
703,Isha Mehta,east,2024-11-24
704,Sai Das,east,2024-08-05
705,Ishan Mehta,east,2024-07-15
706,Aarav Iyer,east,2023-10-21
707,Krishna Roy,east,2024-08-16
708,Tara Nair,east,2024-04-21
709,Kavya Chatterjee,east,2024-11-22
710,Krishna Gowda,east,2024-04-29
711,Sai Reddy,east,2023-10-18
712,Nisha Das,east,2023-12-10
713,Aditya Singh,east,2024-11-19
714,Ishan Singh,east,2023-07-23
715,Arjun Patel,east,2023-02-17
716,Rohit Joshi,east,2024-09-17
717,Aditya Chatterjee,east,2024-02-29
718,Saanvi Kumar,east,2024-01-29
719,Meera Mehta,east,2023-09-07
720,Arjun Patel,east,2023-04-20
721,Isha Singh,east,2023-06-30
722,Nisha Chatterjee,east,2023-02-21
723,Ritika Singh,east,2023-05-05
