customer_id,customer_name,region,signup_date
1901,Ishan Singh,east,2024-09-13
1902,Aarya Singh,east,2024-10-13
1903,Krishna Das,east,2023-09-14
1904,Arjun Rao,east,2024-10-04
1905,Vivaan Iyer,east,2024-03-27
1906,Vivaan Shetty,east,2024-01-09
1907,Arjun Reddy,east,2023-10-30
1908,Ananya Roy,east,2023-06-29
1909,Krishna Gupta,east,2024-07-06
1910,Aarya Gowda,east,2024-05-28
1911,Rohan Yadav,east,2023-09-21
1912,Meera Iyer,east,2023-12-13
1913,Vihaan Chatterjee,east,2023-03-19
1914,Arjun Singh,east,2024-11-23
1915,Diya Bhat,east,2024-01-10
1916,Aditya Mehta,east,2023-01-15
1917,Rohan Bhat,east,2023-05-07
1918,Kavya Desai,east,2024-11-19
1919,Rohan Shetty,east,2024-01-26
1920,Aarya Rao,east,2024-11-22
1921,Rohit Joshi,east,2023-01-26
1922,Tara Bhat,east,2023-12-02
1923,Tara Singh,east,2024-10-25
1924,Aditya Chatterjee,east,2023-11-06
1925,Isha Rao,east,2023-05-24
