customer_id,customer_name,region,signup_date
501,Rohan Gupta,east,2023-12-24
502,Aditya Singh,east,2024-01-14
503,Ishan Yadav,east,2024-03-24
504,Ritika Iyer,east,2024-09-18
505,Nisha Patel,east,2024-11-14
506,Ritika Iyer,east,2024-11-10
507,Vihaan Gupta,east,2023-09-28
508,Vihaan Rao,east,2024-07-20
509,Arjun Poojari,east,2023-10-16
510,Tara Kumar,east,2023-12-18
511,Krishna Poojari,east,2024-06-01
512,Meera Poojari,east,2023-02-22
513,Aditya Roy,east,2023-10-11
514,Vivaan Patel,east,2023-12-08
515,Arjun Poojari,east,2023-06-15
516,Kavya Bhat,east,2024-03-13
517,Ritika Patel,east,2023-04-25
518,Aditya Gupta,east,2024-07-12
519,Vivaan Desai,east,2024-08-19
520,Ritika Gupta,east,2024-03-16
521,Arjun Sharma,east,2023-11-12
522,Aarya Sharma,east,2024-01-02
523,Krishna Singh,east,2024-11-13
524,Vihaan Desai,east,2024-07-27
525,Isha Das,east,2023-06-08
526,Rohit Yadav,east,2023-07-01
