customer_id,customer_name,region,signup_date
1,Vihaan Patel,east,2023-10-09
2,Rohit Singh,east,2023-05-23
3,Vihaan Bhat,east,2023-03-31
4,Saanvi Roy,east,2023-02-02
5,Aarav Reddy,east,2023-08-12
6,Rohit Gowda,east,2024-09-08
7,Aarav Bhat,east,2023-07-23
8,Ritika Roy,east,2023-08-14
9,Kavya Shetty,east,2023-10-12
10,Aarav Yadav,east,2024-03-08
11,Ananya Poojari,east,2023-06-09
12,Krishna Nair,east,2023-04-15
13,Aditya Mehta,east,2023-04-10
14,Aarya Desai,east,2024-09-10
15,Rohan Sharma,east,2024-04-15
16,Ritika Rao,east,2024-01-23
17,Aditya Bhat,east,2023-10-28
18,Tara Desai,east,2024-08-14
19,Krishna Reddy,east,2023-02-16
20,Rohit Iyer,east,2023-03-23
21,Rohit Rao,east,2024-01-25
22,Rohan Chatterjee,east,2024-10-12
23,Aarya Yadav,east,2024-01-15
24,Aarya Kumar,east,2024-11-17
25,Rohan Reddy,east,2024-09-15
26,Sai Bhat,east,2023-09-08
27,Sai Chatterjee,east,2024-01-24
28,Rohan Bhat,east,2023-08-13
29,Ananya Sharma,east,2023-08-23
30,Vivaan Nair,east,2024-02-15
