customer_id,customer_name,region,signup_date
401,Rohan Chatterjee,east,2023-10-20
402,Isha Bhat,east,2024-11-08
403,Meera Gupta,east,2023-07-14
404,Ishan Kumar,east,2023-03-01
405,Saanvi Bhat,east,2023-03-04
406,Ananya Sharma,east,2023-02-21
407,Saanvi Joshi,east,2024-05-29
408,Nisha Yadav,east,2023-02-28
409,Nisha Reddy,east,2023-07-10
410,Aditya Das,east,2023-03-11
411,Rohit Mehta,east,2023-05-03
412,Saanvi Singh,east,2024-08-15
413,Tara Sharma,east,2024-09-26
414,Aditya Roy,east,2024-11-04
415,Saanvi Shetty,east,2024-06-19
416,Ananya Poojari,east,2023-07-29
417,Ananya Singh,east,2023-09-29
418,Diya Gupta,east,2024-11-18
419,Ishan Chatterjee,east,2023-11-20
420,Aditya Patel,east,2024-04-14
421,Tara Shetty,east,2023-04-13
422,Aditya Bhat,east,2023-08-07
