customer_id,customer_name,region,signup_date
1001,Diya Kumar,east,2023-03-19
1002,Saanvi Singh,east,2023-04-15
1003,Ishan Das,east,2023-05-04
1004,Saanvi Sharma,east,2023-12-22
1005,Ritika Roy,east,2024-11-08
1006,Aarya Reddy,east,2024-06-02
1007,Ananya Patel,east,2024-03-06
1008,Meera Rao,east,2024-03-19
1009,Aarya Chatterjee,east,2023-06-06
1010,Isha Yadav,east,2024-06-18
1011,Rohan Das,east,2024-07-05
1012,Meera Chatterjee,east,2024-03-22
1013,Saanvi Poojari,east,2023-11-27
1014,Rohit Reddy,east,2023-10-13
1015,Kavya Singh,east,2024-04-20
1016,Saanvi Das,east,2024-11-15
1017,Diya Nair,east,2023-01-30
1018,Meera Nair,east,2023-07-06
1019,Meera Kumar,east,2023-12-30
1020,Rohan Nair,east,2023-10-14
1021,Tara Poojari,east,2024-07-23
1022,Aarav Gowda,east,2023-07-15
