customer_id,customer_name,region,signup_date
101,Aditya Kumar,east,2024-08-03
102,Ananya Kumar,east,2024-11-02
103,Meera Mehta,east,2024-10-20
104,Kavya Gupta,east,2023-09-29
105,Arjun Singh,east,2024-07-28
106,Ritika Poojari,east,2024-08-21
107,Isha Shetty,east,2024-02-13
108,Aarya Singh,east,2023-05-22
109,Nisha Joshi,east,2023-04-04
110,Vivaan Rao,east,2023-06-06
111,Sai Roy,east,2024-09-02
112,Aditya Mehta,east,2024-01-26
113,Tara Chatterjee,east,2024-06-25
114,Rohan Bhat,east,2023-01-12
115,Vihaan Bhat,east,2023-10-01
116,Ananya Rao,east,2023-10-28
117,Isha Yadav,east,2024-04-09
118,Aarav Poojari,east,2024-05-27
