customer_id,customer_name,region,signup_date
1201,Krishna Joshi,east,2023-10-11
1202,Saanvi Gowda,east,2024-09-03
1203,Ishan Rao,east,2023-07-18
1204,Ishan Singh,east,2024-01-05
1205,Sai Iyer,east,2023-01-15
1206,Ritika Gupta,east,2023-10-08
1207,Vivaan Sharma,east,2024-07-20
1208,Ishan Gupta,east,2024-10-15
1209,Meera Rao,east,2023-01-13
1210,Saanvi Iyer,east,2024-04-25
1211,Meera Chatterjee,east,2023-12-15
1212,Sai Sharma,east,2023-09-16
1213,Meera Rao,east,2023-03-08
1214,Diya Joshi,east,2023-03-17
1215,Saanvi Sharma,east,2023-06-05
1216,Arjun Shetty,east,2023-11-08
